2025-03-19_Test_coupon_2.wav => Predicted: 1, Prob: 3.8169, Ground Truth: N/A
Cross_s1_p5cycle_122.wav => Predicted: 0, Prob: 9.6014, Ground Truth: 0
Cross_s1_p5cycle_124.wav => Predicted: 0, Prob: 9.5756, Ground Truth: 0
Cross_s1_p5cycle_126.wav => Predicted: 0, Prob: 8.9286, Ground Truth: 0
Cross_s1_p5cycle_128.wav => Predicted: 0, Prob: 9.8006, Ground Truth: 0
Cross_s1_p5cycle_130.wav => Predicted: 0, Prob: 9.5244, Ground Truth: 0
Cross_s1_p5cycle_132.wav => Predicted: 0, Prob: 6.6282, Ground Truth: 0
Cross_s1_p5cycle_134.wav => Predicted: 0, Prob: 10.1918, Ground Truth: 0
Cross_s1_p5cycle_136.wav => Predicted: 0, Prob: 10.3367, Ground Truth: 0
Cross_s1_p5cycle_138.wav => Predicted: 0, Prob: 8.4969, Ground Truth: N/A
Cross_s1_p5cycle_140.wav => Predicted: 0, Prob: 8.8605, Ground Truth: 0
Cross_s1_p5cycle_142.wav => Predicted: 0, Prob: 8.5425, Ground Truth: 0
Cross_s1_p5cycle_144.wav => Predicted: 0, Prob: 8.3437, Ground Truth: 0
Cross_s1_p5cycle_146.wav => Predicted: 0, Prob: 11.2638, Ground Truth: 0
Cross_s1_p5cycle_148.wav => Predicted: 0, Prob: 8.6829, Ground Truth: 0
Cross_s1_p5cycle_152.wav => Predicted: 0, Prob: 5.0764, Ground Truth: N/A
Cross_s1_p5cycle_154.wav => Predicted: 0, Prob: 8.6671, Ground Truth: 0
Cross_s1_p5cycle_156.wav => Predicted: 0, Prob: 9.7278, Ground Truth: 0
Cross_s1_p5cycle_158.wav => Predicted: 0, Prob: 8.4367, Ground Truth: 0
Cross_s1_p5cycle_160.wav => Predicted: 0, Prob: 7.9665, Ground Truth: 0
Cross_s1_p5cycle_162.wav => Predicted: 0, Prob: 8.5348, Ground Truth: N/A
Cross_s1_p5cycle_164.wav => Predicted: 0, Prob: 9.8765, Ground Truth: 0
Cross_s1_p5cycle_166.wav => Predicted: 0, Prob: 8.5985, Ground Truth: 0
Cross_s1_p5cycle_168.wav => Predicted: 0, Prob: 8.0726, Ground Truth: 0
Cross_s1_p5cycle_170.wav => Predicted: 0, Prob: 10.8235, Ground Truth: 0
Cross_s1_p5cycle_172.wav => Predicted: 0, Prob: 9.5877, Ground Truth: 0
Cross_s1_p5cycle_174.wav => Predicted: 0, Prob: 9.7516, Ground Truth: 0
Cross_s1_p5cycle_176.wav => Predicted: 0, Prob: 6.6044, Ground Truth: 0
Cross_s1_p5cycle_178.wav => Predicted: 0, Prob: 10.5624, Ground Truth: 0
Cross_s1_p5cycle_180.wav => Predicted: 0, Prob: 11.1173, Ground Truth: 0
Cross_s1_p5cycle_182.wav => Predicted: 0, Prob: 10.0279, Ground Truth: 0
Cross_s1_p5cycle_184.wav => Predicted: 0, Prob: 9.0850, Ground Truth: 0
Cross_s1_p5cycle_186.wav => Predicted: 0, Prob: 10.8324, Ground Truth: 0
Cross_s1_p5cycle_188.wav => Predicted: 0, Prob: 9.1725, Ground Truth: 0
Cross_s1_p5cycle_192.wav => Predicted: 0, Prob: 10.1910, Ground Truth: 0
Cross_s1_p5cycle_194.wav => Predicted: 0, Prob: 10.0507, Ground Truth: 0
Cross_s1_p5cycle_196.wav => Predicted: 0, Prob: 8.6810, Ground Truth: 0
Cross_s1_p5cycle_198.wav => Predicted: 0, Prob: 9.1667, Ground Truth: 0
Cross_s1_p5cycle_200.wav => Predicted: 0, Prob: 9.8015, Ground Truth: 0
Cross_s1_p5cycle_202.wav => Predicted: 0, Prob: 10.3684, Ground Truth: 0
Cross_s1_p5cycle_204.wav => Predicted: 0, Prob: 8.5087, Ground Truth: 0
Cross_s1_p_uppercycle_004.wav => Predicted: 0, Prob: 8.0191, Ground Truth: 0
Cross_s1_p_uppercycle_006.wav => Predicted: 0, Prob: 8.3402, Ground Truth: N/A
Cross_s1_p_uppercycle_008.wav => Predicted: 0, Prob: 6.5588, Ground Truth: 0
Cross_s1_p_uppercycle_010.wav => Predicted: 0, Prob: 9.3034, Ground Truth: 0
Cross_s1_p_uppercycle_012.wav => Predicted: 0, Prob: 11.3963, Ground Truth: 0
Cross_s1_p_uppercycle_014.wav => Predicted: 0, Prob: 10.4514, Ground Truth: 0
Cross_s1_p_uppercycle_016.wav => Predicted: 0, Prob: 10.1753, Ground Truth: 0
Cross_s1_p_uppercycle_018.wav => Predicted: 0, Prob: 13.9982, Ground Truth: 0
Cross_s1_p_uppercycle_020.wav => Predicted: 0, Prob: 8.8116, Ground Truth: 0
Cross_s1_p_uppercycle_022.wav => Predicted: 0, Prob: 10.5876, Ground Truth: 0
Cross_s1_p_uppercycle_024.wav => Predicted: 0, Prob: 7.8369, Ground Truth: 0
Cross_s1_p_uppercycle_026.wav => Predicted: 0, Prob: 9.5141, Ground Truth: 0
Cross_s1_p_uppercycle_028.wav => Predicted: 0, Prob: 9.0013, Ground Truth: N/A
Cross_s1_p_uppercycle_030.wav => Predicted: 0, Prob: 10.2524, Ground Truth: 0
Cross_s1_p_uppercycle_032.wav => Predicted: 0, Prob: 5.9859, Ground Truth: N/A
Cross_s1_p_uppercycle_036.wav => Predicted: 0, Prob: 9.0137, Ground Truth: 0
Cross_s1_p_uppercycle_038.wav => Predicted: 0, Prob: 11.4809, Ground Truth: N/A
Cross_s1_p_uppercycle_040.wav => Predicted: 0, Prob: 12.1370, Ground Truth: N/A
Cross_s1_p_uppercycle_042.wav => Predicted: 0, Prob: 9.8401, Ground Truth: N/A
Cross_s1_p_uppercycle_044.wav => Predicted: 0, Prob: 10.1034, Ground Truth: 0
Cross_s1_p_uppercycle_046.wav => Predicted: 0, Prob: 7.5929, Ground Truth: 0
Cross_s1_p_uppercycle_048.wav => Predicted: 0, Prob: 10.7096, Ground Truth: 0
Cross_s1_p_uppercycle_050.wav => Predicted: 0, Prob: 9.2827, Ground Truth: 0
Cross_s1_p_uppercycle_052.wav => Predicted: 0, Prob: 8.4834, Ground Truth: 0
Cross_s1_p_uppercycle_054.wav => Predicted: 0, Prob: 7.5645, Ground Truth: 0
Cross_s1_p_uppercycle_056.wav => Predicted: 0, Prob: 9.8749, Ground Truth: N/A
Cross_s1_p_uppercycle_058.wav => Predicted: 0, Prob: 9.0987, Ground Truth: 0
Cross_s1_p_uppercycle_060.wav => Predicted: 0, Prob: 9.6230, Ground Truth: 0
Cross_s1_p_uppercycle_062.wav => Predicted: 0, Prob: 12.0818, Ground Truth: 0
Cross_s1_p_uppercycle_064.wav => Predicted: 0, Prob: 9.6936, Ground Truth: 0
Cross_s1_p_uppercycle_066.wav => Predicted: 0, Prob: 9.9819, Ground Truth: 0
Cross_s1_p_uppercycle_068.wav => Predicted: 0, Prob: 10.3424, Ground Truth: 0
Cross_s1_p_uppercycle_070.wav => Predicted: 0, Prob: 8.9209, Ground Truth: 0
Cross_s1_p_uppercycle_072.wav => Predicted: 0, Prob: 13.0067, Ground Truth: 0
Cross_s1_p_uppercycle_076.wav => Predicted: 0, Prob: 13.8372, Ground Truth: 0
Cross_s1_p_uppercycle_078.wav => Predicted: 0, Prob: 11.2723, Ground Truth: N/A
Cross_s1_p_uppercycle_080.wav => Predicted: 0, Prob: 11.9566, Ground Truth: 0
Cross_s1_p_uppercycle_082.wav => Predicted: 0, Prob: 9.6322, Ground Truth: 0
Cross_s1_p_uppercycle_084.wav => Predicted: 0, Prob: 7.6019, Ground Truth: 0
Cross_s1_p_uppercycle_086.wav => Predicted: 0, Prob: 13.4005, Ground Truth: 0
Cross_s1_p_uppercycle_088.wav => Predicted: 0, Prob: 10.0934, Ground Truth: 0
Cross_s1_p_uppercycle_090.wav => Predicted: 0, Prob: 7.5544, Ground Truth: 0
Cross_s1_p_uppercycle_092.wav => Predicted: 0, Prob: 10.5200, Ground Truth: 0
Cross_s1_p_uppercycle_094.wav => Predicted: 0, Prob: 10.8188, Ground Truth: N/A
Cross_s1_p_uppercycle_096.wav => Predicted: 0, Prob: 10.5077, Ground Truth: 0
Cross_s1_p_uppercycle_098.wav => Predicted: 0, Prob: 10.2557, Ground Truth: 0
Cross_s1_p_uppercycle_100.wav => Predicted: 0, Prob: 9.7465, Ground Truth: N/A
Cross_s1_p_uppercycle_102.wav => Predicted: 0, Prob: 9.1736, Ground Truth: 0
Cross_s1_p_uppercycle_104.wav => Predicted: 0, Prob: 9.9159, Ground Truth: N/A
Cross_s1_p_uppercycle_106.wav => Predicted: 0, Prob: 9.4618, Ground Truth: 0
Cross_s1_p_uppercycle_108.wav => Predicted: 0, Prob: 13.8274, Ground Truth: 0
Cross_s1_p_uppercycle_110.wav => Predicted: 0, Prob: 11.0626, Ground Truth: 0
Cross_s1_p_uppercycle_112.wav => Predicted: 0, Prob: 8.1631, Ground Truth: 0
Cross_s1_p_uppercycle_118.wav => Predicted: 0, Prob: 10.3579, Ground Truth: N/A
Cross_s1_p_uppercycle_120.wav => Predicted: 0, Prob: 9.0701, Ground Truth: 0
Cross_s1_p_uppercycle_122.wav => Predicted: 0, Prob: 9.4662, Ground Truth: 0
Cross_s1_p_uppercycle_124.wav => Predicted: 0, Prob: 8.8581, Ground Truth: 0
Cross_s1_p_uppercycle_126.wav => Predicted: 0, Prob: 12.7458, Ground Truth: N/A
Cross_s1_p_uppercycle_128.wav => Predicted: 0, Prob: 11.2714, Ground Truth: N/A
Cross_s1_p_uppercycle_130.wav => Predicted: 0, Prob: 7.7926, Ground Truth: N/A
Cross_s1_p_uppercycle_132.wav => Predicted: 0, Prob: 9.8637, Ground Truth: N/A
Cross_s1_p_uppercycle_134.wav => Predicted: 0, Prob: 12.3134, Ground Truth: 0
Cross_s1_p_uppercycle_136.wav => Predicted: 0, Prob: 7.9540, Ground Truth: 0
Cross_s1_p_uppercycle_138.wav => Predicted: 0, Prob: 9.8256, Ground Truth: 0
Cross_s1_p_uppercycle_140.wav => Predicted: 0, Prob: 10.1942, Ground Truth: 0
Cross_s1_p_uppercycle_142.wav => Predicted: 0, Prob: 9.3949, Ground Truth: 0
Cross_s1_p_uppercycle_144.wav => Predicted: 0, Prob: 9.9067, Ground Truth: N/A
Cross_s1_p_uppercycle_146.wav => Predicted: 0, Prob: 8.7201, Ground Truth: 0
Cross_s1_p_uppercycle_150.wav => Predicted: 0, Prob: 9.4539, Ground Truth: 0
Cross_s1_p_uppercycle_152.wav => Predicted: 0, Prob: 8.0538, Ground Truth: N/A
Cross_s1_p_uppercycle_154.wav => Predicted: 0, Prob: 10.9680, Ground Truth: 0
Cross_s1_p_uppercycle_156.wav => Predicted: 0, Prob: 9.6097, Ground Truth: 0
Cross_s1_p_uppercycle_158.wav => Predicted: 0, Prob: 8.8299, Ground Truth: 0
Cross_s1_p_uppercycle_160.wav => Predicted: 0, Prob: 13.4296, Ground Truth: 0
Cross_s1_p_uppercycle_162.wav => Predicted: 0, Prob: 12.6314, Ground Truth: 0
Cross_s1_p_uppercycle_164.wav => Predicted: 0, Prob: 8.6134, Ground Truth: 0
Cross_s1_p_uppercycle_166.wav => Predicted: 0, Prob: 9.3926, Ground Truth: 0
Cross_s1_p_uppercycle_170.wav => Predicted: 0, Prob: 8.5269, Ground Truth: 0
Cross_s1_p_uppercycle_172.wav => Predicted: 0, Prob: 10.2433, Ground Truth: 0
Cross_s1_p_uppercycle_174.wav => Predicted: 0, Prob: 9.5577, Ground Truth: 0
Cross_s1_p_uppercycle_176.wav => Predicted: 0, Prob: 7.8138, Ground Truth: 0
Cross_s1_p_uppercycle_178.wav => Predicted: 0, Prob: 9.2278, Ground Truth: 0
Cross_s1_p_uppercycle_180.wav => Predicted: 0, Prob: 8.7660, Ground Truth: 0
Cross_s1_p_uppercycle_190.wav => Predicted: 0, Prob: 7.9684, Ground Truth: 0
Cross_s1_p_uppercycle_194.wav => Predicted: 0, Prob: 8.4927, Ground Truth: 0
Cross_s1_p_uppercycle_196.wav => Predicted: 0, Prob: 10.5552, Ground Truth: 0
Cross_s1_p_uppercycle_198.wav => Predicted: 0, Prob: 7.8850, Ground Truth: 0
Cross_s1_p_uppercycle_200.wav => Predicted: 0, Prob: 9.6464, Ground Truth: N/A
Cross_s1_p_uppercycle_202.wav => Predicted: 0, Prob: 6.8192, Ground Truth: 0
Cross_s1_p_uppercycle_204.wav => Predicted: 0, Prob: 7.1531, Ground Truth: 0
Cross_s1_p_uppercycle_206.wav => Predicted: 0, Prob: 9.0406, Ground Truth: 0
Cross_s1_p_uppercycle_208.wav => Predicted: 0, Prob: 9.4563, Ground Truth: 0
Cross_s1_p_uppercycle_210.wav => Predicted: 0, Prob: 8.9896, Ground Truth: 0
Cross_s1_p_uppercycle_214.wav => Predicted: 0, Prob: 9.6895, Ground Truth: 0
Cross_s1_p_uppercycle_216.wav => Predicted: 0, Prob: 9.1681, Ground Truth: 0
Cross_s1_p_uppercycle_218.wav => Predicted: 0, Prob: 10.6826, Ground Truth: 0
Cross_s1_p_uppercycle_220.wav => Predicted: 1, Prob: 10.6351, Ground Truth: 1
Cross_s1_p_uppercycle_220_augmented_1.wav => Predicted: 1, Prob: 10.7296, Ground Truth: 1
Cross_s1_p_uppercycle_220_augmented_2.wav => Predicted: 1, Prob: 9.5430, Ground Truth: 1
Cross_s1_p_uppercycle_220_augmented_3.wav => Predicted: 1, Prob: 10.0042, Ground Truth: N/A
Cross_s1_p_uppercycle_220_augmented_4.wav => Predicted: 1, Prob: 8.4446, Ground Truth: 1
Cross_s1_p_uppercycle_222.wav => Predicted: 0, Prob: 6.9408, Ground Truth: 0
Cross_s2_p1cycle_004.wav => Predicted: 0, Prob: 9.3663, Ground Truth: 0
Cross_s2_p1cycle_006.wav => Predicted: 0, Prob: 9.8071, Ground Truth: 0
Cross_s2_p1cycle_008.wav => Predicted: 0, Prob: 11.5533, Ground Truth: 0
Cross_s2_p1cycle_010.wav => Predicted: 0, Prob: 11.6114, Ground Truth: N/A
Cross_s2_p1cycle_012.wav => Predicted: 0, Prob: 4.7026, Ground Truth: 0
Cross_s2_p1cycle_014.wav => Predicted: 0, Prob: 11.2404, Ground Truth: 0
Cross_s2_p1cycle_016.wav => Predicted: 0, Prob: 8.2270, Ground Truth: 0
Cross_s2_p1cycle_018.wav => Predicted: 0, Prob: 9.9360, Ground Truth: 0
Cross_s2_p1cycle_020.wav => Predicted: 0, Prob: 8.5650, Ground Truth: 0
Cross_s2_p1cycle_022.wav => Predicted: 0, Prob: 12.4994, Ground Truth: 0
Cross_s2_p1cycle_024.wav => Predicted: 0, Prob: 7.7917, Ground Truth: N/A
Cross_s2_p1cycle_026.wav => Predicted: 0, Prob: 10.9747, Ground Truth: 0
Cross_s2_p1cycle_028.wav => Predicted: 0, Prob: 11.3815, Ground Truth: 0
Cross_s2_p1cycle_030.wav => Predicted: 0, Prob: 11.8574, Ground Truth: 0
Cross_s2_p1cycle_032.wav => Predicted: 0, Prob: 11.0774, Ground Truth: 0
Cross_s2_p1cycle_034.wav => Predicted: 0, Prob: 9.9909, Ground Truth: 0
Cross_s2_p1cycle_036.wav => Predicted: 0, Prob: 9.9752, Ground Truth: 0
Cross_s2_p1cycle_038.wav => Predicted: 0, Prob: 4.3513, Ground Truth: 0
Cross_s2_p1cycle_040.wav => Predicted: 0, Prob: 9.1162, Ground Truth: 0
Cross_s2_p1cycle_042.wav => Predicted: 0, Prob: 10.7145, Ground Truth: 0
Cross_s2_p1cycle_044.wav => Predicted: 0, Prob: 10.8815, Ground Truth: N/A
Cross_s2_p1cycle_046.wav => Predicted: 0, Prob: 11.7166, Ground Truth: 0
Cross_s2_p1cycle_048.wav => Predicted: 0, Prob: 12.1339, Ground Truth: 0
Cross_s2_p1cycle_052.wav => Predicted: 0, Prob: 11.0106, Ground Truth: 0
Cross_s2_p1cycle_054.wav => Predicted: 0, Prob: 10.1795, Ground Truth: 0
Cross_s2_p1cycle_056.wav => Predicted: 0, Prob: 11.5256, Ground Truth: N/A
Cross_s2_p1cycle_058.wav => Predicted: 0, Prob: 8.5807, Ground Truth: N/A
Cross_s2_p1cycle_060.wav => Predicted: 0, Prob: 10.9688, Ground Truth: 0
Cross_s2_p1cycle_062.wav => Predicted: 0, Prob: 10.9574, Ground Truth: N/A
Cross_s2_p1cycle_064.wav => Predicted: 0, Prob: 11.3310, Ground Truth: 0
Cross_s2_p1cycle_066.wav => Predicted: 0, Prob: 9.6614, Ground Truth: 0
Cross_s2_p1cycle_068.wav => Predicted: 0, Prob: 13.9279, Ground Truth: 0
Cross_s2_p1cycle_070.wav => Predicted: 0, Prob: 12.5245, Ground Truth: 0
Cross_s2_p1cycle_072.wav => Predicted: 0, Prob: 10.1924, Ground Truth: N/A
Cross_s2_p1cycle_074.wav => Predicted: 0, Prob: 10.4094, Ground Truth: 0
Cross_s2_p1cycle_076.wav => Predicted: 0, Prob: 11.3432, Ground Truth: 0
Cross_s2_p1cycle_078.wav => Predicted: 0, Prob: 11.2271, Ground Truth: 0
Cross_s2_p1cycle_080.wav => Predicted: 0, Prob: 10.2279, Ground Truth: N/A
Cross_s2_p1cycle_082.wav => Predicted: 0, Prob: 9.7060, Ground Truth: N/A
Cross_s2_p1cycle_084.wav => Predicted: 0, Prob: 12.3017, Ground Truth: 0
Cross_s2_p1cycle_086.wav => Predicted: 0, Prob: 7.8522, Ground Truth: 0
Cross_s2_p1cycle_088.wav => Predicted: 0, Prob: 8.7530, Ground Truth: N/A
Cross_s2_p1cycle_090.wav => Predicted: 0, Prob: 10.7086, Ground Truth: N/A
Cross_s2_p1cycle_092.wav => Predicted: 0, Prob: 10.2318, Ground Truth: N/A
Cross_s2_p1cycle_098.wav => Predicted: 0, Prob: 6.6528, Ground Truth: 0
Cross_s2_p1cycle_100.wav => Predicted: 0, Prob: 3.6060, Ground Truth: 0
Cross_s2_p1cycle_102.wav => Predicted: 0, Prob: 8.5814, Ground Truth: 0
Cross_s2_p1cycle_104.wav => Predicted: 0, Prob: 9.5393, Ground Truth: 0
Cross_s2_p1cycle_106.wav => Predicted: 0, Prob: 11.5042, Ground Truth: 0
Cross_s2_p1cycle_108.wav => Predicted: 0, Prob: 6.9277, Ground Truth: 0
Cross_s2_p1cycle_110.wav => Predicted: 0, Prob: 11.5915, Ground Truth: 0
Cross_s2_p1cycle_112.wav => Predicted: 0, Prob: 9.4286, Ground Truth: 0
Cross_s2_p1cycle_114.wav => Predicted: 0, Prob: 7.9132, Ground Truth: 0
Cross_s2_p1cycle_118.wav => Predicted: 0, Prob: 9.4461, Ground Truth: N/A
Cross_s2_p1cycle_120.wav => Predicted: 0, Prob: 4.1360, Ground Truth: 0
Cross_s2_p1cycle_122.wav => Predicted: 0, Prob: 9.8413, Ground Truth: 0
Cross_s2_p1cycle_124.wav => Predicted: 0, Prob: 10.8261, Ground Truth: 0
Cross_s2_p1cycle_126.wav => Predicted: 0, Prob: 5.5822, Ground Truth: 0
Cross_s2_p1cycle_128.wav => Predicted: 0, Prob: 7.6102, Ground Truth: 0
Cross_s2_p1cycle_130.wav => Predicted: 0, Prob: 9.6769, Ground Truth: N/A
Cross_s2_p1cycle_132.wav => Predicted: 0, Prob: 9.5238, Ground Truth: 0
Cross_s2_p1cycle_134.wav => Predicted: 0, Prob: 13.3089, Ground Truth: 0
Cross_s2_p1cycle_136.wav => Predicted: 0, Prob: 11.4491, Ground Truth: N/A
Cross_s2_p1cycle_138.wav => Predicted: 0, Prob: 11.2535, Ground Truth: 0
Cross_s2_p1cycle_142.wav => Predicted: 0, Prob: 3.5322, Ground Truth: N/A
Cross_s2_p1cycle_144.wav => Predicted: 0, Prob: 4.5879, Ground Truth: 0
Cross_s2_p1cycle_146.wav => Predicted: 0, Prob: 14.1187, Ground Truth: 0
Cross_s2_p1cycle_148.wav => Predicted: 0, Prob: 11.5475, Ground Truth: 0
Cross_s2_p1cycle_150.wav => Predicted: 0, Prob: 7.5277, Ground Truth: 0
Cross_s2_p1cycle_152.wav => Predicted: 0, Prob: 8.5302, Ground Truth: 0
Cross_s2_p1cycle_154.wav => Predicted: 0, Prob: 3.7751, Ground Truth: 0
Cross_s2_p1cycle_156.wav => Predicted: 0, Prob: 6.3962, Ground Truth: 0
Cross_s2_p1cycle_158.wav => Predicted: 0, Prob: 11.1370, Ground Truth: 0
Cross_s2_p1cycle_160.wav => Predicted: 0, Prob: 7.1146, Ground Truth: 0
Cross_s2_p1cycle_162.wav => Predicted: 0, Prob: 4.4358, Ground Truth: 0
Cross_s2_p1cycle_164.wav => Predicted: 0, Prob: 7.3096, Ground Truth: N/A
Cross_s2_p1cycle_166.wav => Predicted: 0, Prob: 14.6705, Ground Truth: 0
Cross_s2_p1cycle_170.wav => Predicted: 0, Prob: 11.1791, Ground Truth: N/A
Cross_s2_p1cycle_172.wav => Predicted: 0, Prob: 10.1821, Ground Truth: 0
Cross_s2_p1cycle_174.wav => Predicted: 0, Prob: 11.6221, Ground Truth: 0
Cross_s2_p1cycle_176.wav => Predicted: 0, Prob: 9.9073, Ground Truth: 0
Cross_s2_p1cycle_178.wav => Predicted: 0, Prob: 9.6677, Ground Truth: 0
Cross_s2_p1cycle_182.wav => Predicted: 0, Prob: 8.8150, Ground Truth: 0
Cross_s2_p1cycle_184.wav => Predicted: 0, Prob: 9.4565, Ground Truth: 0
Cross_s2_p1cycle_186.wav => Predicted: 0, Prob: 8.6822, Ground Truth: 0
Cross_s2_p1cycle_188.wav => Predicted: 0, Prob: 11.0521, Ground Truth: 0
Cross_s2_p1cycle_190.wav => Predicted: 0, Prob: 10.6467, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_002.wav => Predicted: 0, Prob: 9.5726, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_004.wav => Predicted: 0, Prob: 7.9121, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_006.wav => Predicted: 0, Prob: 9.4693, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_008.wav => Predicted: 0, Prob: 8.2364, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_010.wav => Predicted: 0, Prob: 9.1929, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_012.wav => Predicted: 0, Prob: 6.7063, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_014.wav => Predicted: 0, Prob: 10.9300, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_016.wav => Predicted: 0, Prob: 9.1922, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_020.wav => Predicted: 0, Prob: 8.3185, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_022.wav => Predicted: 0, Prob: 11.1289, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_024.wav => Predicted: 0, Prob: 8.2105, Ground Truth: N/A
Inc_P5_6_2S1JoiningH4000_cycle_026.wav => Predicted: 0, Prob: 9.5929, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_028.wav => Predicted: 0, Prob: 11.0876, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_032.wav => Predicted: 0, Prob: 9.7018, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_034.wav => Predicted: 0, Prob: 10.7412, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_038.wav => Predicted: 0, Prob: 8.8202, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_040.wav => Predicted: 0, Prob: 10.5004, Ground Truth: N/A
Inc_P5_6_2S1JoiningH4000_cycle_042.wav => Predicted: 0, Prob: 8.7066, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_044.wav => Predicted: 0, Prob: 10.0499, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_046.wav => Predicted: 0, Prob: 9.5490, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_048.wav => Predicted: 0, Prob: 8.8388, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_050.wav => Predicted: 0, Prob: 10.2092, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_052.wav => Predicted: 0, Prob: 7.9598, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_054.wav => Predicted: 0, Prob: 11.1357, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_056.wav => Predicted: 0, Prob: 11.5537, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_058.wav => Predicted: 0, Prob: 10.3237, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_060.wav => Predicted: 0, Prob: 3.7882, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_062.wav => Predicted: 0, Prob: 5.8461, Ground Truth: N/A
Inc_P5_6_2S1JoiningH4000_cycle_064.wav => Predicted: 0, Prob: 6.7547, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_066.wav => Predicted: 0, Prob: 8.8866, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_068.wav => Predicted: 0, Prob: 9.6834, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_070.wav => Predicted: 0, Prob: 7.9749, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_072.wav => Predicted: 0, Prob: 8.3446, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_076.wav => Predicted: 0, Prob: 8.6158, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_080.wav => Predicted: 0, Prob: 8.4517, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_082.wav => Predicted: 0, Prob: 7.2072, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_084.wav => Predicted: 0, Prob: 8.4177, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_086.wav => Predicted: 0, Prob: 10.3081, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_088.wav => Predicted: 0, Prob: 10.3965, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_090.wav => Predicted: 0, Prob: 9.1335, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_092.wav => Predicted: 0, Prob: 10.0005, Ground Truth: N/A
Inc_P5_6_2S1JoiningH4000_cycle_094.wav => Predicted: 0, Prob: 4.3681, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_096.wav => Predicted: 0, Prob: 7.9667, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_098.wav => Predicted: 0, Prob: 10.5323, Ground Truth: N/A
Inc_P5_6_2S1JoiningH4000_cycle_100.wav => Predicted: 0, Prob: 10.7590, Ground Truth: N/A
Inc_P5_6_2S1JoiningH4000_cycle_102.wav => Predicted: 0, Prob: 9.7655, Ground Truth: N/A
Inc_P5_6_2S1JoiningH4000_cycle_104.wav => Predicted: 0, Prob: 9.5174, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_106.wav => Predicted: 0, Prob: 10.0182, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_108.wav => Predicted: 0, Prob: 7.2619, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_110.wav => Predicted: 0, Prob: 10.5736, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_112.wav => Predicted: 0, Prob: 8.3299, Ground Truth: N/A
Inc_P5_6_2S1JoiningH4000_cycle_114.wav => Predicted: 0, Prob: 10.2719, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_116.wav => Predicted: 0, Prob: 9.6395, Ground Truth: 0
Inc_P5_6_2S1JoiningH4000_cycle_118.wav => Predicted: 0, Prob: 5.8523, Ground Truth: N/A
Inc_P5_6_2S1JoiningH4000_cycle_120.wav => Predicted: 0, Prob: 8.8521, Ground Truth: 0
